Hit List: Data Accesses Internal / ...

	Hits	Gross [microsec]	Net [microsec]	Gross [%]	Net [%]	Statement/Event	Program Called	Calling Program
	 65	            218	          218	    <0.01	  <0.01	Export To Memory cntl_list	SAPLCNTH	SAPLCNTH
	107	          1,193	          215	     0.02	  <0.01	Open Cursor DDFTX	CL_DD_TEXT_PROVIDER===========CP	CL_DD_TEXT_PROVIDER===========CP
	  1	            206	          206	    <0.01	  <0.01	DB Buffer: Fetch TABL FETCH(Q)	CL_FCO_LEDGER_CUST_INFO=======CP	CL_FCO_LEDGER_CUST_INFO=======CP
	  5	            203	          203	    <0.01	  <0.01	DB Buffer: Fetch TABL FETCH(Q)	CL_WB2_MB_REBATE_SETTLEMENT===CP	CL_WB2_MB_REBATE_SETTLEMENT===CP
	  1	          2,588	          203	     0.03	  <0.01	Fetch /SCWM/HUHDR	/SCWM/SAPLHUSELECT	/SCWM/SAPLHUSELECT
	  1	            202	          202	    <0.01	  <0.01	DB Buffer: Fetch TABL FETCH(Q)	/SYCLO/CL_CORE_BOM_MOBILEAPP==CP	/SYCLO/CL_CORE_BOM_MOBILEAPP==CP
	  3	          4,953	          195	     0.06	  <0.01	Select Single MCH1	SAPLV01P	SAPLV01P
	  1	          1,551	          195	     0.02	  <0.01	Open Cursor MARA	/SCWM/CL_AF_MATERIAL_S4=======CP	/SCWM/CL_AF_MATERIAL_S4=======CP
	  2	            195	          195	    <0.01	  <0.01	DB Buffer: Fetch TABL FETCH(Q)	SAPL0K01	SAPL0K01
	  1	            303	          194	    <0.01	  <0.01	Fetch CKMLV	CL_FML_CVTYP_FACADE===========CP	CL_FML_CVTYP_FACADE===========CP
	  2	          3,045	          192	     0.04	  <0.01	Fetch MARM	SAPLMG25	SAPLMG25
	 33	            192	          192	    <0.01	  <0.01	DB Buffer: Get TABL GET(Q)	SAPLSUNI	SAPLSUNI
	 88	            191	          191	    <0.01	  <0.01	DB Buffer: Get TABL GET(Q)	SAPLSCV0	SAPLSCV0
	  2	          2,512	          191	     0.03	  <0.01	Select Single /SCWM/HUHDR	/MERP/SAPLEFI_UPD_WM	/MERP/SAPLEFI_UPD_WM
	  3	          5,466	          189	     0.07	  <0.01	Select Single INOB	SAPLCLFC	SAPLCLFC
	  1	            188	          188	    <0.01	  <0.01	DB Buffer: Fetch TABL FETCH(Q)	SAPLCRMBSVA	SAPLCRMBSVA
	 34	            186	          186	    <0.01	  <0.01	DB Buffer: Open TABL OPEN(Q)	ZCL_DEFAULT_HT_GOODSMVT_CREATECP	ZCL_DEFAULT_HT_GOODSMVT_CREATECP
	  1	          3,202	          186	     0.04	  <0.01	DB Buffer: Load TABL LOAD	/SCWM/R_INITIALSTOCKUPLOAD	/SCWM/R_INITIALSTOCKUPLOAD
	  9	          5,427	          185	     0.07	  <0.01	Select Single TCVPROFT	SAPLPC32	SAPLPC32
	  2	            183	          183	    <0.01	  <0.01	DB Buffer: Fetch TABL FETCH(Q)	CL_FINS_DOCUMENT_GL_ACCT_SERV=CP	CL_FINS_DOCUMENT_GL_ACCT_SERV=CP
	858	            346	          182	    <0.01	  <0.01	Fetch CEPC_BUKRS	SAPLPC00	SAPLPC00
	 84	            180	          180	    <0.01	  <0.01	DB Buffer: Get TABL GET(Q)	SAPLSEXE	SAPLSEXE
	  5	          3,914	          175	     0.05	  <0.01	DB Buffer: Load TABL LOAD	ZCL_JVA_FI_DOC_DFTCO_IMP======CP	ZCL_JVA_FI_DOC_DFTCO_IMP======CP
	  1	            174	          174	    <0.01	  <0.01	DB Buffer: Fetch TABL FETCH(Q)	CL_FINS_ACDOC_PCDSUM_UTIL=====CP	CL_FINS_ACDOC_PCDSUM_UTIL=====CP
	  2	            172	          172	    <0.01	  <0.01	DB Buffer: Fetch TABL FETCH(Q)	CL_FINS_ACDOC_UTIL============CP	CL_FINS_ACDOC_UTIL============CP
	 55	            172	          172	    <0.01	  <0.01	Export To Memory cntl_list	SAPLCNTH	SAPLCNTH
	  4	            169	          169	    <0.01	  <0.01	Import Nametab BAL_S_SHOW	SAPLSABP_DD_CATALOG	SAPLSABP_DD_CATALOG
	  2	          4,097	          169	     0.05	  <0.01	Fetch /SAPAPO/MATKEY	/SAPAPO/SAPLDM_MATERIAL	/SAPAPO/SAPLDM_MATERIAL
	 32	            168	          168	    <0.01	  <0.01	DB Buffer: Get TABL GET(Q)	SAPLOIB_QCI	SAPLOIB_QCI
	  1	          3,430	          167	     0.04	  <0.01	Select Single MBEW	SAPLMCB1	SAPLMCB1
	  1	          2,354	          167	     0.03	  <0.01	Fetch V_MBEW_MD	SAPLMG27	SAPLMG27
	 55	            166	          166	    <0.01	  <0.01	Export To Memory cntl_list	SAPLCNTH	SAPLCNTH
	796	            169	          166	    <0.01	  <0.01	DB Buffer: Fetch TABL FETCH(Q)	ZCL_DEFAULT_HT_GOODSMVT_CREATECP	ZCL_DEFAULT_HT_GOODSMVT_CREATECP
	  2	          4,177	          166	     0.05	  <0.01	Fetch CKMLCR	CL_FML_ACDOCA_M_EXTRACT_UTIL==CP	CL_FML_ACDOCA_M_EXTRACT_UTIL==CP
	858	            164	          164	    <0.01	  <0.01	DB Buffer: Fetch TABL FETCH(Q)	SAPLPC00	SAPLPC00
	 65	            163	          163	    <0.01	  <0.01	Import From Memory cntl_evt_callback	SAPLCNT0	SAPLCNT0
	  3	          4,087	          161	     0.05	  <0.01	Select Single INOB	SAPLCLFC	SAPLCLFC
	 55	            160	          160	    <0.01	  <0.01	Import From Memory cntl_list	SAPLCNTH	SAPLCNTH
	  1	          2,881	          155	     0.04	  <0.01	Fetch CABN	SAPLCLSE	SAPLCLSE
	  2	          6,067	          155	     0.08	  <0.01	Open Cursor I_PRODUCTPLANTBASIC	ZCL_DEFAULT_HT_GOODSMVT_CREATECP	ZCL_DEFAULT_HT_GOODSMVT_CREATECP
	  9	          5,625	          154	     0.07	  <0.01	Select Single TRNSPACEL	/SYCLO/CL_CORE_WD_TOOLS=======CP	/SYCLO/CL_CORE_WD_TOOLS=======CP
	  3	          4,344	          153	     0.06	  <0.01	Select Single INOB	SAPLCLFC	SAPLCLFC
	  2	          2,639	          152	     0.03	  <0.01	Select Single MCHA	SAPLV01P	SAPLV01P
	 30	            151	          151	    <0.01	  <0.01	Import From Shared Buffer 801%L%_SeclogExcludedCaller	SAPFS_SECLOG	SAPFS_SECLOG
	107	            151	          151	    <0.01	  <0.01	DB Buffer: Close TABL CLOSE(Q)	CL_DD_TEXT_PROVIDER===========CP	CL_DD_TEXT_PROVIDER===========CP
	486	            157	          149	    <0.01	  <0.01	DB Buffer: Fetch TABL FETCH(Q)	ZCL_MIGO_BADI_HT_MODIFY=======CP	ZCL_MIGO_BADI_HT_MODIFY=======CP
	  1	            149	          149	    <0.01	  <0.01	DB Buffer: Fetch TABL FETCH(Q)	CL_FML_CUST_VALIDATIONS=======CP	CL_FML_CUST_VALIDATIONS=======CP
	  1	          2,249	          148	     0.03	  <0.01	Select Single BUT000	SAPLBUPA_SELECT	SAPLBUPA_SELECT
